date,open,high,low,close,volume
2025-11-03,169.5099945,171.6499939,169.0,169.1999969,819106
2025-11-04,169.5599976,169.5599976,167.5399933,168.1600037,895882
2025-11-06,168.4400024,168.4400024,163.0,163.0099945,1324838
2025-11-07,162.2799988,163.9499969,159.8300018,163.9499969,980449
2025-11-10,164.3000031,164.7799988,162.6799927,162.75,508996
2025-11-11,163.1999969,165.1199951,162.1600037,164.0,813445
2025-11-12,165.2899933,167.8500061,164.3300018,166.0,856799
2025-11-13,161.4199982,164.0,160.7100067,161.2100067,2293716
2025-11-14,161.2599945,167.6900024,161.2599945,163.6000061,3093604
2025-11-17,163.6499939,172.25,163.2100067,168.1799927,9577625
2025-11-18,169.9400024,169.9400024,166.0,168.5,1441136
2025-11-19,168.3000031,168.3000031,165.4199982,166.1999969,798406
2025-11-20,166.3999939,167.9299927,164.7899933,165.3200073,1054976
2025-11-21,164.5899963,165.1499939,162.0,162.3000031,883795
2025-11-24,162.6000061,162.6000061,159.0,160.4499969,982817
2025-11-25,160.5,162.5200043,158.6499939,160.4499969,1010431
2025-11-26,160.8099976,162.6799927,160.5500031,161.6100006,716587
2025-11-27,163.5,166.2799988,161.8099976,162.0,995605
2025-11-28,162.25,162.25,160.0200043,161.1999969,595698
2025-12-01,161.6799927,162.0,159.0,159.0899963,722619
2025-12-02,159.3399963,159.3399963,157.25,157.8699951,655324
2025-12-03,157.2299957,158.1999969,154.3099976,154.8099976,835664
2025-12-04,155.25,155.4499969,153.8000031,154.2200012,567389
2025-12-05,154.0,154.0,150.9299927,151.6999969,696503
2025-12-08,151.1100006,151.6999969,145.8300018,146.6999969,1409236
2025-12-09,145.7799988,152.8699951,143.5,152.2700043,2045768
2025-12-10,152.1999969,154.9299927,149.1300049,149.6600037,975408
2025-12-11,150.1100006,159.3000031,148.7400055,157.7599945,10653911
2025-12-12,156.8999939,157.7899933,155.0500031,156.6999969,1026445
2025-12-15,156.0,157.5,154.5,156.9199982,982243
2025-12-16,155.7100067,156.1999969,152.8399963,153.0099945,839276
2025-12-17,152.9299927,154.1600037,151.0700073,151.1999969,555860
2025-12-18,150.5299988,151.0800018,148.1300049,150.0099945,1347726
2025-12-19,150.75,153.3600006,149.9900055,153.2400055,1157722
2025-12-22,153.8000031,158.25,153.8000031,156.8099976,4972825
2025-12-23,157.9499969,177.3099976,156.5899963,169.0,51160094
2025-12-24,170.1399994,174.0200043,168.1999969,170.5500031,5267112
2025-12-26,171.6000061,186.3500061,169.0,178.25,38760333
2025-12-29,178.8999939,181.9499969,172.3999939,172.7700043,3819475
2025-12-30,172.6900024,177.6100006,170.3999939,171.8000031,4141665
