entry_date,exit_date,direction,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,confidence
2025-11-03,2025-11-04,UP,169.28,168.16,23,-33.63,-0.86%,END_OF_DAY,61.62%
2025-11-04,2025-11-06,UP,168.24,163.01,23,-128.0,-3.31%,END_OF_DAY,59.38%
2025-11-06,2025-11-07,UP,163.09,163.95,24,12.75,0.33%,END_OF_DAY,59.32%
2025-11-07,2025-11-10,UP,164.03,162.75,24,-38.61,-0.98%,END_OF_DAY,60.80%
2025-11-10,2025-11-11,UP,162.83,164.0,24,20.2,0.52%,END_OF_DAY,59.32%
2025-11-11,2025-11-12,UP,164.08,166.0,24,38.11,0.97%,END_OF_DAY,61.66%
2025-11-12,2025-11-13,UP,166.08,161.21,24,-124.81,-3.13%,END_OF_DAY,61.66%
2025-11-13,2025-11-14,UP,161.29,163.6,24,47.63,1.23%,END_OF_DAY,61.62%
2025-11-14,2025-11-17,UP,163.68,168.18,24,99.99,2.55%,END_OF_DAY,61.57%
2025-11-17,2025-11-18,UP,168.26,168.5,23,-2.32,-0.06%,END_OF_DAY,60.70%
2025-11-18,2025-11-19,UP,168.58,166.2,23,-62.54,-1.61%,END_OF_DAY,59.04%
2025-11-19,2025-11-20,UP,166.28,165.32,24,-31.07,-0.78%,END_OF_DAY,58.02%
2025-11-20,2025-11-21,UP,165.4,162.3,24,-82.33,-2.07%,END_OF_DAY,60.36%
2025-11-21,2025-11-24,UP,162.38,160.45,24,-54.1,-1.39%,END_OF_DAY,57.96%
2025-11-24,2025-11-25,UP,160.53,160.45,24,-9.63,-0.25%,END_OF_DAY,59.38%
2025-11-25,2025-11-26,UP,160.53,161.61,24,18.18,0.47%,END_OF_DAY,61.66%
2025-11-26,2025-11-27,UP,161.69,162.0,24,-0.35,-0.01%,END_OF_DAY,61.70%
2025-11-27,2025-11-28,UP,162.08,161.2,24,-28.9,-0.74%,END_OF_DAY,61.62%
2025-11-28,2025-12-01,UP,161.28,159.09,24,-60.26,-1.56%,END_OF_DAY,60.80%
2025-12-18,2025-12-19,UP,150.08,153.24,26,74.14,1.90%,END_OF_DAY,61.22%
2025-12-19,2025-12-22,UP,153.32,156.81,25,79.58,2.08%,END_OF_DAY,59.52%
2025-12-22,2025-12-23,UP,156.89,170.69,25,336.85,8.59%,TAKE_PROFIT,59.92%
2025-12-23,2025-12-24,UP,169.08,170.55,23,25.89,0.67%,END_OF_DAY,59.12%
2025-12-24,2025-12-26,UP,170.64,178.25,23,167.11,4.26%,END_OF_DAY,59.28%
